               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079108,            0.027529,            0.027563,             0.09109,             0.16288,            0.080251,            0.022311,            0.067369,            0.023104,            0.027556,           0.0033286,           0.0033286,            0.070043
                   1,            0.057982,            0.020687,            0.020311,             0.23581,             0.53672,             0.28418,            0.066055,            0.059645,            0.017383,            0.020326,            0.006656,            0.006656,            0.040037
                   2,             0.05824,             0.01706,            0.015196,             0.22677,             0.44148,             0.18106,            0.049388,            0.066955,            0.012261,            0.013118,           0.0099598,           0.0099598,            0.010007
                   3,            0.055031,            0.013684,            0.010763,             0.58863,             0.71754,             0.64078,             0.25426,            0.048587,            0.011694,            0.012108,           0.0099203,           0.0099203,           0.0099203
                   4,            0.045724,            0.013134,           0.0081931,             0.57661,             0.75064,             0.63872,             0.26268,            0.045916,           0.0098455,           0.0071583,           0.0099203,           0.0099203,           0.0099203
                   5,            0.042217,            0.011378,           0.0053734,             0.64216,             0.87964,             0.76609,              0.4118,             0.03541,           0.0094846,           0.0053318,           0.0098586,           0.0098586,           0.0098586
                   6,            0.038699,            0.010402,           0.0042324,             0.66684,             0.87433,             0.81646,             0.43258,             0.03288,           0.0084349,           0.0041721,           0.0097798,           0.0097798,           0.0097798
                   7,            0.035481,            0.010021,            0.003587,             0.79945,             0.86485,             0.90671,             0.50575,            0.031075,           0.0083924,           0.0033066,            0.009684,            0.009684,            0.009684
                   8,            0.031764,           0.0093143,           0.0029497,             0.85155,              0.9567,             0.95832,             0.57375,            0.030099,            0.007773,           0.0029383,           0.0095717,           0.0095717,           0.0095717
                   9,            0.029702,           0.0090438,           0.0024516,             0.87341,             0.95945,             0.95147,             0.60231,            0.028812,            0.007667,           0.0022627,           0.0094434,           0.0094434,           0.0094434
                  10,            0.029015,           0.0085859,           0.0026143,             0.85733,             0.87602,             0.91321,             0.57041,            0.032158,           0.0074234,           0.0024136,           0.0092995,           0.0092995,           0.0092995
                  11,            0.027973,           0.0085629,           0.0025077,             0.87678,             0.94593,             0.96222,             0.67842,            0.024406,           0.0070658,           0.0029429,           0.0091406,           0.0091406,           0.0091406
                  12,            0.028358,            0.008187,           0.0024948,              0.8856,             0.96901,             0.97009,             0.62831,            0.027886,           0.0070246,           0.0026466,           0.0089673,           0.0089673,           0.0089673
                  13,            0.026104,           0.0081456,           0.0020143,             0.87056,             0.96281,             0.96648,             0.61586,            0.025207,           0.0070039,           0.0020702,           0.0087804,           0.0087804,           0.0087804
                  14,            0.025324,           0.0081133,           0.0018735,             0.90598,             0.96511,             0.96934,             0.69788,            0.023542,           0.0068037,           0.0022741,           0.0085805,           0.0085805,           0.0085805
                  15,            0.026862,           0.0082492,           0.0018484,             0.87008,                0.97,             0.95702,              0.5958,            0.027201,           0.0068626,           0.0019363,           0.0083684,           0.0083684,           0.0083684
                  16,            0.025138,           0.0080531,             0.00187,             0.89433,             0.93084,             0.95694,             0.67165,            0.023026,           0.0069503,            0.001876,            0.008145,            0.008145,            0.008145
                  17,            0.024182,           0.0077226,           0.0016543,             0.90441,              0.9519,              0.9725,             0.67762,            0.023361,            0.006645,            0.001538,           0.0079112,           0.0079112,           0.0079112
                  18,            0.023053,           0.0076685,           0.0016035,             0.89084,             0.96472,             0.97085,             0.68699,            0.021348,           0.0063795,           0.0014863,           0.0076679,           0.0076679,           0.0076679
                  19,            0.020918,           0.0069528,           0.0013649,             0.90025,             0.97266,             0.97242,             0.71236,            0.020323,           0.0063206,           0.0014093,            0.007416,            0.007416,            0.007416
                  20,            0.020716,           0.0068882,           0.0012826,             0.87851,             0.95596,             0.96058,             0.67585,            0.020894,           0.0061523,           0.0013842,           0.0071566,           0.0071566,           0.0071566
                  21,             0.02007,           0.0070194,           0.0015641,               0.889,             0.97097,              0.9644,             0.71035,            0.019918,            0.006374,           0.0017182,           0.0068906,           0.0068906,           0.0068906
                  22,            0.020308,           0.0069636,           0.0012463,             0.89069,              0.9699,              0.9652,             0.74162,            0.019662,           0.0062207,           0.0016697,           0.0066191,           0.0066191,           0.0066191
                  23,             0.01925,           0.0067559,           0.0012437,             0.89594,             0.94507,              0.9657,             0.72872,            0.017759,           0.0060292,           0.0011604,           0.0063432,           0.0063432,           0.0063432
                  24,            0.018976,           0.0068077,           0.0012276,              0.9056,             0.96083,             0.97487,             0.72219,            0.019199,           0.0060371,           0.0013507,            0.006064,            0.006064,            0.006064
                  25,            0.020325,           0.0069428,           0.0011857,             0.89613,             0.95652,             0.96267,             0.72404,            0.018678,           0.0062349,           0.0012832,           0.0057826,           0.0057826,           0.0057826
                  26,            0.018015,           0.0069597,           0.0010521,             0.88615,             0.97303,              0.9707,              0.7636,            0.016867,           0.0058697,          0.00098591,              0.0055,              0.0055,              0.0055
                  27,            0.017504,           0.0062881,           0.0010039,             0.92252,             0.95493,             0.97774,             0.75844,             0.01742,           0.0058786,           0.0010501,           0.0052174,           0.0052174,           0.0052174
                  28,            0.016975,            0.006357,           0.0010699,             0.91969,             0.96233,             0.97907,             0.79133,            0.014864,           0.0058737,            0.001079,            0.004936,            0.004936,            0.004936
                  29,            0.016638,           0.0063842,          0.00094361,             0.90683,             0.96303,             0.97763,             0.77792,            0.016402,            0.005801,          0.00088799,           0.0046568,           0.0046568,           0.0046568
                  30,            0.016994,           0.0065832,           0.0008473,             0.90838,             0.94569,              0.9755,             0.77548,             0.01546,           0.0057402,           0.0008104,           0.0043809,           0.0043809,           0.0043809
                  31,            0.016333,           0.0063087,          0.00088033,             0.91196,             0.95357,             0.97597,             0.78919,            0.015282,           0.0057091,          0.00083537,           0.0041094,           0.0041094,           0.0041094
